Date,Percent per annum
13.03.20,-0.866117
12.03.20,-0.912983
11.03.20,-0.877126
10.03.20,-0.852322
09.03.20,-0.887656
06.03.20,-0.795588
05.03.20,-0.777001
04.03.20,-0.756167
03.03.20,-0.724882
02.03.20,-0.757201
28.02.20,-0.735743
27.02.20,-0.713712
26.02.20,-0.67424
25.02.20,-0.663188
24.02.20,-0.653552
21.02.20,-0.620695
20.02.20,-0.618815
19.02.20,-0.621458
18.02.20,-0.619945
17.02.20,-0.629966
14.02.20,-0.635119
13.02.20,-0.630675
12.02.20,-0.626569
11.02.20,-0.628511
10.02.20,-0.623613
07.02.20,-0.627817
06.02.20,-0.617091
05.02.20,-0.626974
04.02.20,-0.630527
03.02.20,-0.657141
31.01.20,-0.6534
30.01.20,-0.641248
29.01.20,-0.631917
28.01.20,-0.61943
27.01.20,-0.61644
24.01.20,-0.61215
23.01.20,-0.613649
22.01.20,-0.599449
21.01.20,-0.591209
20.01.20,-0.59588
17.01.20,-0.609044
16.01.20,-0.610152
15.01.20,-0.608064
14.01.20,-0.602282
13.01.20,-0.598258
10.01.20,-0.612534
09.01.20,-0.617632
08.01.20,-0.633612
07.01.20,-0.641443
06.01.20,-0.63758
03.01.20,-0.630324
02.01.20,-0.634844
30.12.19,-0.66071
27.12.19,-0.679331
23.12.19,-0.679865
20.12.19,-0.6638
19.12.19,-0.670892
18.12.19,-0.66989
17.12.19,-0.667758
16.12.19,-0.660428
13.12.19,-0.657289
12.12.19,-0.662165
11.12.19,-0.665278
10.12.19,-0.664554
09.12.19,-0.65497
06.12.19,-0.655483
05.12.19,-0.645536
04.12.19,-0.661359
03.12.19,-0.659302
02.12.19,-0.635279
29.11.19,-0.634678
28.11.19,-0.643996
27.11.19,-0.647274
26.11.19,-0.65022
25.11.19,-0.64651
22.11.19,-0.638756
21.11.19,-0.652271
20.11.19,-0.650001
19.11.19,-0.642341
18.11.19,-0.639018
15.11.19,-0.658645
14.11.19,-0.653234
13.11.19,-0.639034
12.11.19,-0.635309
11.11.19,-0.627864
08.11.19,-0.643783
07.11.19,-0.644183
06.11.19,-0.635613
05.11.19,-0.648842
04.11.19,-0.65852
01.11.19,-0.67752
31.10.19,-0.687181
30.10.19,-0.662818
29.10.19,-0.673546
28.10.19,-0.678399
25.10.19,-0.678739
24.10.19,-0.675968
23.10.19,-0.663899
22.10.19,-0.662655
21.10.19,-0.660495
18.10.19,-0.668313
17.10.19,-0.669886
16.10.19,-0.670786
15.10.19,-0.67999
14.10.19,-0.68556
11.10.19,-0.695685
10.10.19,-0.703969
09.10.19,-0.740323
08.10.19,-0.744429
07.10.19,-0.744851
04.10.19,-0.75066
03.10.19,-0.766189
02.10.19,-0.757306
01.10.19,-0.751627
30.09.19,-0.759257
27.09.19,-0.750763
26.09.19,-0.739622
25.09.19,-0.722154
24.09.19,-0.721726
23.09.19,-0.721007
20.09.19,-0.710987
19.09.19,-0.703384
18.09.19,-0.72663
17.09.19,-0.70715
16.09.19,-0.715487
13.09.19,-0.713668
12.09.19,-0.751344
11.09.19,-0.810428
10.09.19,-0.809607
09.09.19,-0.822729
06.09.19,-0.846078
05.09.19,-0.855565
04.09.19,-0.858317
03.09.19,-0.865812
02.09.19,-0.880365
30.08.19,-0.882467
29.08.19,-0.876702
28.08.19,-0.866138
27.08.19,-0.857468
26.08.19,-0.856056
23.08.19,-0.8505
22.08.19,-0.831514
21.08.19,-0.850222
20.08.19,-0.867107
19.08.19,-0.853515
16.08.19,-0.85769
15.08.19,-0.846312
14.08.19,-0.830057
13.08.19,-0.820994
12.08.19,-0.827675
09.08.19,-0.822411
08.08.19,-0.804931
07.08.19,-0.809379
06.08.19,-0.779376
05.08.19,-0.772688
02.08.19,-0.754907
01.08.19,-0.742734
31.07.19,-0.743844
30.07.19,-0.729674
29.07.19,-0.734404
26.07.19,-0.726149
25.07.19,-0.72903
24.07.19,-0.739799
23.07.19,-0.743561
22.07.19,-0.737876
19.07.19,-0.733938
18.07.19,-0.715215
17.07.19,-0.717987
16.07.19,-0.711868
15.07.19,-0.706043
12.07.19,-0.702729
11.07.19,-0.699817
10.07.19,-0.690565
09.07.19,-0.694228
08.07.19,-0.699519
05.07.19,-0.703048
04.07.19,-0.708831
03.07.19,-0.703969
02.07.19,-0.706207
01.07.19,-0.694262
28.06.19,-0.690687
27.06.19,-0.689139
26.06.19,-0.686286
25.06.19,-0.688203
24.06.19,-0.681826
21.06.19,-0.679211
20.06.19,-0.698526
19.06.19,-0.674097
18.06.19,-0.685273
17.06.19,-0.636138
14.06.19,-0.641173
13.06.19,-0.632833
12.06.19,-0.631693
11.06.19,-0.629056
10.06.19,-0.622798
07.06.19,-0.629939
06.06.19,-0.616751
05.06.19,-0.630663
04.06.19,-0.624901
03.06.19,-0.630152
31.05.19,-0.6417
30.05.19,-0.625215
29.05.19,-0.620078
28.05.19,-0.616439
27.05.19,-0.613249
24.05.19,-0.61208
23.05.19,-0.613621
22.05.19,-0.604079
21.05.19,-0.607257
20.05.19,-0.613448
17.05.19,-0.618401
16.05.19,-0.622099
15.05.19,-0.634163
14.05.19,-0.627494
13.05.19,-0.620568
10.05.19,-0.618915
09.05.19,-0.626058
08.05.19,-0.619226
07.05.19,-0.607901
06.05.19,-0.596237
03.05.19,-0.598881
02.05.19,-0.597546
30.04.19,-0.595395
29.04.19,-0.594069
26.04.19,-0.596788
25.04.19,-0.597626
24.04.19,-0.593814
23.04.19,-0.588117
18.04.19,-0.585141
17.04.19,-0.592595
16.04.19,-0.589386
15.04.19,-0.583867
12.04.19,-0.585269
11.04.19,-0.594125
10.04.19,-0.595839
09.04.19,-0.588743
08.04.19,-0.593988
05.04.19,-0.593837
04.04.19,-0.599622
03.04.19,-0.601467
02.04.19,-0.611699
01.04.19,-0.607146
29.03.19,-0.610297
28.03.19,-0.606023
27.03.19,-0.62238
26.03.19,-0.582255
25.03.19,-0.590235
22.03.19,-0.585628
21.03.19,-0.569641
20.03.19,-0.560979
19.03.19,-0.563284
18.03.19,-0.56344
15.03.19,-0.569475
14.03.19,-0.574112
13.03.19,-0.573161
12.03.19,-0.573161
11.03.19,-0.570534
08.03.19,-0.570652
07.03.19,-0.576632
06.03.19,-0.558525
05.03.19,-0.563554
04.03.19,-0.557622
01.03.19,-0.562844
28.02.19,-0.567277
27.02.19,-0.566782
26.02.19,-0.575007
25.02.19,-0.569725
22.02.19,-0.584865
21.02.19,-0.575983
20.02.19,-0.582989
19.02.19,-0.587885
18.02.19,-0.570046
15.02.19,-0.567228
14.02.19,-0.567445
13.02.19,-0.566331
12.02.19,-0.566237
11.02.19,-0.570225
08.02.19,-0.574138
07.02.19,-0.57787
06.02.19,-0.574079
05.02.19,-0.591553
04.02.19,-0.594155
01.02.19,-0.603776
31.01.19,-0.601981
30.01.19,-0.599895
29.01.19,-0.602972
28.01.19,-0.612966
25.01.19,-0.616687
24.01.19,-0.610638
23.01.19,-0.622024
22.01.19,-0.626595
21.01.19,-0.622438
18.01.19,-0.627832
17.01.19,-0.623077
16.01.19,-0.630611
15.01.19,-0.639868
14.01.19,-0.630235
11.01.19,-0.635164
10.01.19,-0.637779
09.01.19,-0.634994
08.01.19,-0.644449
07.01.19,-0.643783
04.01.19,-0.659218
03.01.19,-0.673208
02.01.19,-0.688424
28.12.18,-0.748986
27.12.18,-0.747759
21.12.18,-0.755688
20.12.18,-0.750549
19.12.18,-0.749415
18.12.18,-0.756896
17.12.18,-0.752742
