DATE,CPHPLA01EZM661N
2020-02-01,103.31
2020-03-01,104.49
2020-04-01,105.26
2020-05-01,105.26
2020-06-01,105.59
2020-07-01,105.31
2020-08-01,104.71
2020-09-01,104.93
2020-10-01,105.07
2020-11-01,104.53
